I want to convert something to an array. What method does this?,to_a,3,1,4
I want to see the unique ID of an object. What method shows this?,object_id,4,2,6
I want to create a variable that starts with lowercase. What's this called?,local variable,3,1,4
I want to create a variable that starts with @. What's this called?,instance variable,9,7,16
I want to create a variable that starts with @@. What's this called?,class variable,7,5,12
I want to create a variable that starts with $. What's this called?,global variable,3,1,4
I want to create true and false values. What are these called?,booleans,3,1,4
I want to represent nothing or empty. What value represents this?,nil,4,0,4
I want to check if something is true or false. What method checks this?,nil? or !nil?,4,2,6
I want to use different number bases. How do I write binary numbers?,0b prefix (0b1010),4,2,6
I want to use different number bases. How do I write octal numbers?,0 prefix (0755),5,3,8
I want to use different number bases. How do I write hexadecimal numbers?,0x prefix (0xFF),3,3,6
I want to make numbers more readable. How do I add separators?,_ underscore (1_000_000),4,2,6
I want to create a string with single quotes. When do I use this?,single quotes for literal strings,3,1,4
I want to create a string with double quotes. When do I use this?,double quotes for interpolation,3,3,6
I want to include a quote inside a string. How do I escape it?,backslash single-quote or backslash double-quote,1,3,4
I want to include a newline in a string. How do I add it?,\n,3,1,4
I want to include a tab in a string. How do I add it?,\t,3,1,4
I want to include a backslash in a string. How do I escape it?,\\,4,0,4
I want to exit my Ruby program early. What command stops execution?,exit,3,1,4
