等,wait,12,2,14,2.5,0,0,1970-01-01
躺,lie down,13,1,14,2.6,1,1,2025-08-07
睡觉,sleep,13,1,14,2.6,1,1,2025-08-07
醒,wake up,17,3,20,2.5,0,0,1970-01-01
问,ask,41,1,42,2.5,0,0,1970-01-01
回答,answer,38,4,42,2.5,0,0,1970-01-01
告诉,tell; speak,33,11,44,2.5,0,0,1970-01-01
给,give,45,5,50,2.5,0,0,1970-01-01
拿,take,44,5,49,2.5,0,0,1970-01-01
得到,get; obtain,34,10,44,2.5,0,0,1970-01-01
放,put,43,8,51,2.5,0,0,1970-01-01
开,open,43,6,49,2.5,0,0,1970-01-01
关,close,44,7,51,2.5,0,0,1970-01-01
开始,begin; start,36,6,42,2.5,0,0,1970-01-01
睡,sleep,7,0,7,2.6,1,1,2025-08-07
工作,work,19,3,22,2.5,0,0,1970-01-01
帮,help,7,0,7,2.6,1,1,2025-08-07
爱,love,6,1,7,2.6,1,1,2025-08-07
喜欢,like; love,40,3,43,2.5,0,0,1970-01-01
要,want; wish,36,6,42,2.5,0,0,1970-01-01
可以,can; able to,27,8,35,2.5,0,0,1970-01-01
知道,know,27,9,36,2.5,0,0,1970-01-01
想,think,30,6,36,2.5,0,0,1970-01-01
感觉,feel,35,1,36,2.6,1,1,2025-08-07
希望,hope,32,4,36,1.8,1,1,2025-08-07
