我,I; me,35,5,40,2.6,1,1,2025-08-07
你,you,33,7,40,2.6,1,1,2025-08-07
他,he; him,36,4,40,2.6,1,1,2025-08-07
她,she; her,36,4,40,2.6,1,1,2025-08-07
我们,we; us,37,3,40,2.6,1,1,2025-08-07
一,one,53,0,53,2.6,1,1,2025-08-07
二,two,51,2,53,2.6,1,1,2025-08-07
三,three,53,0,53,2.6,1,1,2025-08-07
四,four,47,4,51,2.6,1,1,2025-08-07
五,five,53,0,53,2.6,1,1,2025-08-07
是,yes; be; am/is/are,37,4,41,2.6,1,1,2025-08-07
有,have; there is,32,6,38,2.6,1,1,2025-08-07
看,see; look,12,3,15,2.7,4,2,2025-08-07
说,speak; say,11,4,15,2.7,4,2,2025-08-07
听,listen; hear,14,1,15,2.7,4,2,2025-08-07
大,big; large,11,5,16,2.7,4,2,2025-08-07
小,small; little,13,2,15,2.7,4,2,2025-08-07
人,person; human,15,2,17,2.6,1,1,2025-08-07
水,water; liquid,17,0,17,2.6,1,1,2025-08-07
日,sun; day,29,2,31,2.6,1,1,2025-08-07
月,moon; month,11,1,12,2.6,1,1,2025-08-07
今天,today,28,4,32,2.6,1,1,2025-08-07
现在,now,28,4,32,2.6,1,1,2025-08-07
六,six,55,2,57,2.6,1,1,2025-08-07
七,seven,49,2,51,2.6,1,1,2025-08-07
